#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,,,,,,
,,table,_time,_value,_field,_measurement
,,,2023-01-01T07:00:00Z,19.47,SQM,Bonita
,,,2023-01-01T07:05:00Z,19.47,SQM,Bonita
,,,2023-01-01T07:10:00Z,19.53,SQM,Bonita
,,,2023-01-01T07:15:00Z,19.66,SQM,Bonita
,,,2023-01-01T07:20:00Z,19.71,SQM,Bonita
,,,2023-01-01T07:25:00Z,19.75,SQM,Bonita
,,,2023-01-01T07:30:00Z,19.92,SQM,Bonita
,,,2023-01-01T07:35:00Z,20.0,SQM,Bonita
,,,2023-01-01T07:40:00Z,20.06,SQM,Bonita
,,,2023-01-01T07:45:00Z,20.11,SQM,Bonita
,,,2023-01-01T07:50:00Z,20.18,SQM,Bonita
,,,2023-01-01T07:55:00Z,20.34,SQM,Bonita
,,,2023-01-01T08:00:00Z,20.45,SQM,Bonita
,,,2023-01-01T08:05:00Z,20.6,SQM,Bonita
,,,2023-01-01T08:10:00Z,20.84,SQM,Bonita
,,,2023-01-01T08:15:00Z,20.91,SQM,Bonita
,,,2023-01-01T08:20:00Z,21.07,SQM,Bonita
,,,2023-01-01T08:25:00Z,21.23,SQM,Bonita
,,,2023-01-01T08:30:00Z,21.37,SQM,Bonita
,,,2023-01-01T08:35:00Z,21.57,SQM,Bonita
,,,2023-01-01T08:40:00Z,21.65,SQM,Bonita
,,,2023-01-01T08:45:00Z,21.7,SQM,Bonita
,,,2023-01-01T08:50:00Z,21.74,SQM,Bonita
,,,2023-01-01T08:55:00Z,21.75,SQM,Bonita
,,,2023-01-01T09:00:00Z,21.74,SQM,Bonita
,,,2023-01-01T09:05:00Z,21.74,SQM,Bonita
,,,2023-01-01T09:10:00Z,21.74,SQM,Bonita
,,,2023-01-01T09:15:00Z,21.74,SQM,Bonita
,,,2023-01-01T09:20:00Z,21.74,SQM,Bonita
,,,2023-01-01T09:25:00Z,21.73,SQM,Bonita
,,,2023-01-01T09:30:00Z,21.72,SQM,Bonita
,,,2023-01-01T09:35:00Z,21.74,SQM,Bonita
,,,2023-01-01T09:40:00Z,21.77,SQM,Bonita
,,,2023-01-01T09:45:00Z,21.83,SQM,Bonita
,,,2023-01-01T09:50:00Z,21.8,SQM,Bonita
,,,2023-01-01T09:55:00Z,21.77,SQM,Bonita
,,,2023-01-01T10:00:00Z,21.75,SQM,Bonita
,,,2023-01-01T10:05:00Z,21.74,SQM,Bonita
,,,2023-01-01T10:10:00Z,21.74,SQM,Bonita
,,,2023-01-01T10:15:00Z,21.74,SQM,Bonita
,,,2023-01-01T10:20:00Z,21.74,SQM,Bonita
,,,2023-01-01T10:25:00Z,21.74,SQM,Bonita
,,,2023-01-01T10:30:00Z,21.75,SQM,Bonita
,,,2023-01-01T10:35:00Z,21.76,SQM,Bonita
,,,2023-01-01T10:40:00Z,21.78,SQM,Bonita
,,,2023-01-01T10:45:00Z,21.79,SQM,Bonita
,,,2023-01-01T10:50:00Z,21.86,SQM,Bonita
,,,2023-01-01T10:55:00Z,21.85,SQM,Bonita
,,,2023-01-01T11:00:00Z,21.84,SQM,Bonita
,,,2023-01-01T11:05:00Z,21.88,SQM,Bonita
,,,2023-01-01T11:10:00Z,21.87,SQM,Bonita
,,,2023-01-01T11:15:00Z,21.91,SQM,Bonita
,,,2023-01-01T11:20:00Z,22.04,SQM,Bonita
,,,2023-01-01T11:25:00Z,22.09,SQM,Bonita
,,,2023-01-01T11:30:00Z,22.09,SQM,Bonita
,,,2023-01-01T11:35:00Z,22.11,SQM,Bonita
,,,2023-01-01T11:40:00Z,22.15,SQM,Bonita
,,,2023-01-01T11:45:00Z,22.21,SQM,Bonita
,,,2023-01-01T11:50:00Z,22.2,SQM,Bonita
,,,2023-01-01T11:55:00Z,22.19,SQM,Bonita
,,,2023-01-01T12:00:00Z,22.07,SQM,Bonita
,,,2023-01-01T12:05:00Z,22.02,SQM,Bonita
,,,2023-01-01T12:10:00Z,21.87,SQM,Bonita
,,,2023-01-01T12:15:00Z,21.6,SQM,Bonita
,,,2023-01-01T12:20:00Z,21.14,SQM,Bonita
,,,2023-01-01T12:25:00Z,20.45,SQM,Bonita
,,,2023-01-01T12:30:00Z,19.57,SQM,Bonita
,,,2023-01-01T12:35:00Z,18.58,SQM,Bonita
,,,2023-01-01T12:40:00Z,17.57,SQM,Bonita
,,,2023-01-01T12:45:00Z,16.21,SQM,Bonita
,,,2023-01-01T12:50:00Z,14.98,SQM,Bonita
,,,2023-01-01T12:55:00Z,14.05,SQM,Bonita
,,,2023-01-01T13:00:00Z,12.79,SQM,Bonita
,,,2023-01-01T13:05:00Z,11.48,SQM,Bonita
,,,2023-01-01T13:10:00Z,10.28,SQM,Bonita
,,,2023-01-01T13:15:00Z,9.41,SQM,Bonita
,,,2023-01-01T13:20:00Z,8.78,SQM,Bonita
,,,2023-01-01T13:25:00Z,8.14,SQM,Bonita
,,,2023-01-01T13:30:00Z,7.49,SQM,Bonita
,,,2023-01-01T13:35:00Z,6.9,SQM,Bonita
,,,2023-01-01T13:40:00Z,6.58,SQM,Bonita
,,,2023-01-01T13:45:00Z,6.13,SQM,Bonita
,,,2023-01-01T14:05:00Z,10.01,SQM,Bonita
,,,2023-01-02T00:40:00Z,19.93,SQM,Bonita
,,,2023-01-02T00:45:00Z,19.5,SQM,Bonita
,,,2023-01-02T00:50:00Z,19.38,SQM,Bonita
,,,2023-01-02T00:55:00Z,19.38,SQM,Bonita
,,,2023-01-02T01:00:00Z,19.05,SQM,Bonita
,,,2023-01-02T01:05:00Z,18.59,SQM,Bonita
,,,2023-01-02T01:10:00Z,18.35,SQM,Bonita
,,,2023-01-02T01:15:00Z,18.72,SQM,Bonita
,,,2023-01-02T01:20:00Z,18.85,SQM,Bonita
,,,2023-01-02T01:25:00Z,18.87,SQM,Bonita
,,,2023-01-02T01:30:00Z,18.99,SQM,Bonita
,,,2023-01-02T01:35:00Z,19.01,SQM,Bonita
,,,2023-01-02T01:40:00Z,19.06,SQM,Bonita
,,,2023-01-02T01:45:00Z,19.38,SQM,Bonita
,,,2023-01-02T01:50:00Z,19.22,SQM,Bonita
,,,2023-01-02T01:55:00Z,18.29,SQM,Bonita
,,,2023-01-02T02:00:00Z,18.77,SQM,Bonita
,,,2023-01-02T02:05:00Z,18.69,SQM,Bonita
,,,2023-01-02T02:10:00Z,18.64,SQM,Bonita
,,,2023-01-02T02:15:00Z,18.64,SQM,Bonita
,,,2023-01-02T02:20:00Z,18.77,SQM,Bonita
,,,2023-01-02T02:25:00Z,18.78,SQM,Bonita
,,,2023-01-02T02:30:00Z,19.09,SQM,Bonita
,,,2023-01-02T02:35:00Z,18.53,SQM,Bonita
,,,2023-01-02T02:40:00Z,19.11,SQM,Bonita
,,,2023-01-02T02:45:00Z,18.85,SQM,Bonita
,,,2023-01-02T02:50:00Z,19.49,SQM,Bonita
,,,2023-01-02T02:55:00Z,19.28,SQM,Bonita
,,,2023-01-02T03:00:00Z,18.68,SQM,Bonita
,,,2023-01-02T03:05:00Z,18.89,SQM,Bonita
,,,2023-01-02T03:10:00Z,19.07,SQM,Bonita
,,,2023-01-02T03:15:00Z,19.03,SQM,Bonita
,,,2023-01-02T03:20:00Z,18.94,SQM,Bonita
,,,2023-01-02T03:25:00Z,19.03,SQM,Bonita
,,,2023-01-02T03:30:00Z,19.55,SQM,Bonita
,,,2023-01-02T03:35:00Z,18.93,SQM,Bonita
,,,2023-01-02T03:40:00Z,18.64,SQM,Bonita
,,,2023-01-02T03:45:00Z,18.66,SQM,Bonita
,,,2023-01-02T03:50:00Z,19.29,SQM,Bonita
,,,2023-01-02T03:55:00Z,18.97,SQM,Bonita
,,,2023-01-02T04:00:00Z,19.09,SQM,Bonita
,,,2023-01-02T04:05:00Z,19.53,SQM,Bonita
,,,2023-01-02T04:10:00Z,19.0,SQM,Bonita
,,,2023-01-02T04:15:00Z,18.63,SQM,Bonita
,,,2023-01-02T04:20:00Z,18.57,SQM,Bonita
,,,2023-01-02T04:25:00Z,19.34,SQM,Bonita
,,,2023-01-02T04:30:00Z,18.36,SQM,Bonita
,,,2023-01-02T04:35:00Z,18.22,SQM,Bonita
,,,2023-01-02T04:40:00Z,18.71,SQM,Bonita
,,,2023-01-02T04:45:00Z,19.13,SQM,Bonita
,,,2023-01-02T04:50:00Z,18.56,SQM,Bonita
,,,2023-01-02T04:55:00Z,18.29,SQM,Bonita
,,,2023-01-02T05:00:00Z,18.41,SQM,Bonita
,,,2023-01-02T05:05:00Z,18.35,SQM,Bonita
,,,2023-01-02T05:10:00Z,18.41,SQM,Bonita
,,,2023-01-02T05:15:00Z,18.48,SQM,Bonita
,,,2023-01-02T05:20:00Z,18.1,SQM,Bonita
,,,2023-01-02T05:25:00Z,17.85,SQM,Bonita
,,,2023-01-02T05:30:00Z,17.96,SQM,Bonita
,,,2023-01-02T05:35:00Z,18.75,SQM,Bonita
,,,2023-01-02T05:40:00Z,19.31,SQM,Bonita
,,,2023-01-02T05:45:00Z,19.27,SQM,Bonita
,,,2023-01-02T05:50:00Z,19.33,SQM,Bonita
,,,2023-01-02T05:55:00Z,18.7,SQM,Bonita
,,,2023-01-02T06:00:00Z,18.93,SQM,Bonita
,,,2023-01-02T06:05:00Z,18.99,SQM,Bonita
,,,2023-01-02T06:10:00Z,19.39,SQM,Bonita
,,,2023-01-02T06:15:00Z,19.84,SQM,Bonita
,,,2023-01-02T06:20:00Z,20.56,SQM,Bonita
,,,2023-01-02T06:25:00Z,20.34,SQM,Bonita
,,,2023-01-02T06:30:00Z,20.38,SQM,Bonita
,,,2023-01-02T06:35:00Z,20.37,SQM,Bonita
,,,2023-01-02T06:40:00Z,20.44,SQM,Bonita
,,,2023-01-02T06:45:00Z,20.2,SQM,Bonita
,,,2023-01-02T06:50:00Z,19.46,SQM,Bonita
,,,2023-01-02T06:55:00Z,19.82,SQM,Bonita
,,,2023-01-02T07:00:00Z,20.29,SQM,Bonita
,,,2023-01-02T07:05:00Z,19.57,SQM,Bonita
,,,2023-01-02T07:10:00Z,19.77,SQM,Bonita
,,,2023-01-02T07:15:00Z,20.82,SQM,Bonita
,,,2023-01-02T07:20:00Z,21.57,SQM,Bonita
,,,2023-01-02T07:25:00Z,21.33,SQM,Bonita
,,,2023-01-02T07:30:00Z,21.53,SQM,Bonita
,,,2023-01-02T07:35:00Z,21.77,SQM,Bonita
,,,2023-01-02T07:40:00Z,22.27,SQM,Bonita
,,,2023-01-02T07:45:00Z,23.04,SQM,Bonita
,,,2023-01-02T07:50:00Z,23.48,SQM,Bonita
,,,2023-01-02T07:55:00Z,23.42,SQM,Bonita
,,,2023-01-02T08:00:00Z,23.13,SQM,Bonita
,,,2023-01-02T08:05:00Z,23.12,SQM,Bonita
,,,2023-01-02T08:10:00Z,24.91,SQM,Bonita
,,,2023-01-02T08:15:00Z,22.34,SQM,Bonita
,,,2023-01-02T08:20:00Z,21.73,SQM,Bonita
,,,2023-01-02T08:25:00Z,23.54,SQM,Bonita
,,,2023-01-02T08:30:00Z,23.49,SQM,Bonita
,,,2023-01-02T08:35:00Z,23.33,SQM,Bonita
,,,2023-01-02T08:40:00Z,23.89,SQM,Bonita
,,,2023-01-02T08:45:00Z,24.39,SQM,Bonita
,,,2023-01-02T08:50:00Z,23.55,SQM,Bonita
,,,2023-01-02T08:55:00Z,23.83,SQM,Bonita
,,,2023-01-02T09:00:00Z,24.21,SQM,Bonita
,,,2023-01-02T09:05:00Z,24.08,SQM,Bonita
,,,2023-01-02T09:10:00Z,23.78,SQM,Bonita
,,,2023-01-02T09:15:00Z,23.95,SQM,Bonita
,,,2023-01-02T09:20:00Z,24.48,SQM,Bonita
